Year,Afghanistan,Angola,Albania,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Brunei Darussalam,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Cabo Verde,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,Guyana,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,South Korea,Kuwait,Lao PDR,Lebanon,Liberia,Libya,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Moldova,Madagascar,Mexico,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,Qatar,Romania,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Sierra Leone,El Salvador,Somalia,Serbia,South Sudan,Slovak Republic,Slovenia,Sweden,Eswatini,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela,Vietnam,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1996,,159741933.5,45713356.11,3379138770,52410268.55,8202776517,2457903049,71606841.24,50893980.78,4241865968,,37141874.14,638958844.8,213616356.3,321808510.6,,182805614.6,7965875,146963017.8,14073226545,328359479.2,140560134.8,12196218.57,8615884471,4239447901,1904105834,14563240390,102660140.1,116936303.6,89269879.98,,4318552316,4261939.788,,448075909.3,1123923831,38989886649,24527208.38,3086224945,107001292.2,1452431008,419000000,2115742979,152271808.6,11294316855,41436607.71,126454733.2,2021797095,32851136.61,46403438584,,34490949485,67706683.56,44417812.62,,3929706.231,1897743.657,,4613167577,141370462.9,5558340.16,,1938698897,,585271901.8,2874845238,9904672736,750987245.8,3550986964,,9601957420,20793128832,41791263.91,417489421.7,44047104680,241771205.9,170804816.3,28276956.35,113563610.9,16408665267,3241385529,78445466.01,735631013.6,,,767105591.7,28347308.31,42260000,141495421.6,38154934.56,1447128689,15354611.16,49442905.51,2063965155,39683160.27,33296174.82,4675441102,,21608196.89,36037790.98,37887510.75,12973518.09,20152203.02,2420963934,66463535.19,17398035.78,701412878.6,31533400.51,7829004728,3537003416,39547026.04,1238271987,1437191157,3547799671,101200000,1396469289,1879303176,78744873.28,3083416787,2600849533,202012224.8,,874451238.9,73658822.76,13340000000,106332797.7,79774881.15,4100238291,18592815.28,110830676.2,,,,641559871.1,329972648.3,6203436943,26486561.92,10543301.99,995089040.9,24826410.61,,3938047248,13458544.84,48549386.5,,,397469509.2,7512090796,101038489.5,135393564.5,1464905136,575652014.7,2.71E+11,172211545.7,733197556,,416008632.4,2591787131,37835913.57,291650000
1997,,456780475,29825492,3340670335,64062121.19,7936884917,2164802343,92086691.97,61870123.83,3684095389,,38549246.23,681915124,244369396.2,321808510.6,,249384139.4,9395000,180200446.9,13934266552,369070790.2,160507675.1,,7945140183,3498218851,2120702608,16104915232,93525611.26,118711118.8,83825040.92,,2988711261,4099737.381,,534141188.7,988324331.8,33217573925,26552855.32,2804317083,150664189.8,1752395278,499000000,2267650314,92756319.41,9865892241,53031652.18,225417105.1,1947002590,30962540.18,41308251985,,35674878363,44007707.13,45483310.22,44370189.81,4176388.698,1817811.122,,4573516492,132112832.6,,,1797184681,,695972460.9,3231358571,11464883390,765305513.3,4642384616,,9693753398,20156102258,54854608.88,444287729.2,40634840608,236752278.4,175834896.9,31158797.7,103419601.2,14848484530,2454268845,67064556.58,678164279.5,,1251990817,698792770.9,28700335.94,75611000,134075768,37988313.15,1400949501,17410750.98,52544736.69,2394152398,40262546.07,31142214.89,4780529108,,18692594.36,42014622.82,41599441.57,9801826.445,26407487.14,2089087477,83659580.38,17304328.31,818784525.3,30270700.5,6839136799,3253032488,42587851.99,1180888907,1482054616,3320238863,118000000,1178753608,1576447115,79556597.15,3192276377,2388687811,167982106.9,,1074785782,77272576.53,18126666667,97731859.32,70800402.28,4457304302,9490749.703,112211743.8,,914364967.9,,499529506.7,290785271.8,5203218383,25662115.12,11398353.47,1046927961,16619008.38,,3264802658,19050989.36,106190591.1,,,358166577.8,7791986304,118603807.7,139615977.7,2068583952,575206289.5,2.76E+11,217747190.7,1541033864,,397073042.4,2414137710,43362495.25,311400000
1998,,170278292.6,33638047.44,3398699350,66757573.06,7107542891,2159796003,107262858.6,58736036.23,3664288413,,39494738.56,701585600.4,320389011.3,329787234,,227586087.3,,228677000.4,14357357047,293977055.4,181051047.4,,7748607984,3494250971,2112373123,17527989869,,137245911.5,26629667.19,,3389806738,4513154.879,,483748645.1,1166099773,33146457057,26704778.84,2846065338,159053096.3,1910962052,549000000,2372048406,263001685.7,10333417234,59919847.48,458549925.4,1959708814,22598926.93,40041139680,,36866288852,41084456.98,57453085.66,45034483.32,4049572.023,2900235.951,,4824257169,139804367.7,,,1427264827,,618464380,972702125.1,11920610818,742402153.2,5479362942,,9145784898,20825125352,47640218.88,496473906.9,37849012643,242646223.1,171964013.3,26092304.3,83323986.09,10457957529,2282153592,33350210.56,693871897.5,,1443621758,733435634.7,27807021.35,138175000,143139739.1,42180166.5,1444959716,10613141.68,50446576.25,2480943604,41020286.4,29081268.41,5873097951,,19920839.93,49264817.34,25610687.83,8456738.925,14474120.37,1158657313,78912428.46,22035691.04,1149684730,26271274.53,6836084823,3324939365,42273075.89,969356349.5,1318205462,3218881738,104000000,1141808874,1225561281,49720532.99,3491022616,2335597096,139262988,,1254227893,87091837.06,20861600000,259957570.1,75090854.85,4466270315,,110830676.2,,642122263.4,,397592215.7,301139822.2,5132285182,25731330.54,10542378.74,1096039533,16103004.99,,2110239752,22613230.32,87510040.16,,,365849374.7,8781048158,134276958.1,154712531.5,1405161785,573248407.6,2.74E+11,,1450963992,,384502730.3,1905656009,,306000000
1999,,1066588789,42784205.21,3461730865,68234148.57,7770250653,2124379546,120262174,50571188.26,3598447520,17843134.39,41741175.48,737412573.6,357224539.6,364361702.1,,165903848.9,,176744242.1,9866973919,258413177.9,169578756.2,,8210778540,3146822887,2043134812,21027341242,,144704636.5,149277860.3,,3247296766,5004734.208,,289970367,1205931870,32604005638,26779052.56,2784881254,175000467.8,1826496570,296000000,2447978794,272856734.6,11113722490,73800541.32,703704869.5,1653905119,23811699.72,38897240331,,36453353008,25882678.36,59277760.9,55211186.39,3519056.437,,,5012285642,123754165.2,,,1035949008,,702942491.1,1135147005,13895562461,741508607.8,6650285144,,8645271101,21016456910,45131071.75,511988716.5,43122898505,143905357.1,151917777.4,23133179.47,88172003.48,12095186824,2286352512,15382947.39,829663624.8,,1153487088,631014150.1,34078186.69,106450000,140758789.2,56568626.39,1207516610,5990984.994,45036442.92,2908141919,43852596.8,27986620.66,6950081056,,18021861.88,56516191.65,31959678.11,9040808.71,14402979.49,1663289474,105765957.2,23550468.65,491671368.6,26927929.68,7026433290,3309198286,47484957.37,970306042,1340442133,3080764514,111600000,992217726.3,1341016654,35678026.43,3226555351,2406493740,116553254.9,,955337577,80852363.58,18320000000,429617897.4,78285006.15,4493173880,,114743701.1,,737469450.8,,327169170.9,274841827.8,5148727432,25853264.11,11090147.46,1127632857,20951796.25,,2056847122,15126152.26,111923076.9,,,357013395.4,9951788874,128497943.6,159704570.3,941788284.1,574285890.7,2.81E+11,250071736,1408064716,,395252957.3,1738036625,56113432.89,263400000
2000,,583621333.6,45362503.39,3266633317,68052142.07,7273760313,1925557398,119575651.7,42321552.22,3190805233,14496275.16,36658539.05,740798160,351343204.9,359042553.2,,140326204.7,7116125,173245422.5,11344032535,244205202,184718394.6,,8299385231,2800146846,2103460610,22929764607,,123034343.9,132883821.7,,3027922793,6801072.798,,281160374.3,1157294085,28149990787,26025061.75,2392510831,246810843.7,1881163649,266000000,2627698334,230670129.9,10273779252,78313308.56,617541613.6,1558135250,32039537.35,33814262023,91295212.2,35254814799,18824291.43,50882608.24,45967931.21,3323532.172,9531360.608,,4564522446,157848092.8,12585649.29,52462396.89,659775033.3,,715857664.8,1129542840,14287514241,694674774.3,8327053824,,9407761463,19878720932,43566232.49,529337094.5,45509673827,143527541.1,165584735.2,25794155.81,81025841.31,13801107024,2697075596,13717664.6,930016583.7,,1085534665,822127365.6,30555503.52,140400000,128192371.5,69990683.36,859151483.2,5090797.96,47210934.61,3323124172,43681247.68,25353948.05,9030564409,,24265559.55,55361458.44,37878312.26,9360142.631,11727501.44,1533157895,92397796.49,20084946.68,368644109.5,30825265.68,5971807629,2922343510,51358135.31,858414919.5,1577243173,2973072722,0,912005730.7,1303077685,33606981.63,3146106713,2204256495,110248167.2,,935569610.3,61329857.12,19964266667,587267572.3,62361652.64,4330726931,23310804.35,110370320.3,,337080608.4,,342322768.9,222391556.8,4789440137,24471060.53,10325841.56,897044908.7,21349034.24,,1881009454,10353281.16,,,,332389762.7,9993730197,135055952.6,141303025.9,1136716646,555968792.4,3.02E+11,115375384.6,1788322080,,473664032.5,1891725013,,346300000
2001,,404299140,53232045.16,3183591796,66247626.46,7043145895,1788798311,131963660.1,53230373.11,3036035472,13112535.62,36832965.23,705481695.2,406003542.8,372340425.5,,177697841.7,7454662.5,184397571,10930231568,217667939.2,210322093.6,,8375571425,2763655325,1893098224,27875387284,,124301708.4,,54445943.53,3264438192,4638556.172,,327627160.3,1182519922,27425257940,26048131.62,2525225825,305900328,2091627274,384000000,2834256230,166550245.4,10222074075,93818539.9,349808276.5,1479270879,32811655.82,33276659717,90036137.23,35331927360,23829967.87,32352140.5,87718398.82,2454230.2,6183163.515,,4428103552,196765577.5,14371052.9,62951976.58,629464103.8,,845055673.8,919022697.8,14600642346,767778364.4,10378791766,,9607416508,19519381482,46374382.29,528926645.6,40757967234,221486206.5,195365005.5,22212067.21,70846940.89,12941850828,2685735278,12574570.78,958540630.2,,819747993.6,675016502,23390729.43,166875000,160284919.2,86966741.1,1470317615,5961865.823,65037565.45,3540226539,44881650.23,27119323.11,9464417217,,23124715.31,50619215.98,51852489.35,8977215.381,12681914.7,1934473684,96757182.45,24828146.93,570632287.8,28193450.44,6200391943,2965973987,64701738.38,796636889.1,1819895969,2842046790,0,904235449.1,1122103992,25230765.6,3630645595,2324811411,91298893.93,,985657655.7,56885903.13,21026666667,388091317.4,68891286.82,4309127542,29911134.61,150651459.1,,494069226.5,,393996598.3,271488790.4,4128046006,19665055.21,11065396.05,1022526578,26192330.83,,1724799637,12468225.56,,,13945440.72,335647906.8,7216051045,150728196.3,136157342.5,1088575173,523008311.4,3.13E+11,59760610.47,1911400137,,540101498.8,1802262236,,286700000
2002,,438686245.4,58649352.5,1114172483,64106405.65,7946766202,1881746741,139894091.9,44910067.05,3147146017,26000447.64,42468449.96,681816161.7,455950466.5,444148936.2,241025517.6,204364237.4,7829937.5,160437935.8,9664561903,226182431.5,223549258.8,10681962.96,8495399281,2882696762,1779553138,32137735649,,145626610.5,,70704230.2,3347522602,4520858.938,,242483491,1494390397,29333207849,33250994.54,2694082493,271663317.2,2100602521,505000000,2902768425,150764425.2,10270839019,122069530.7,288932333.5,1611406522,30914304.27,36403933933,94693165.45,39659529123,33975807.04,36975481.34,98084865.17,2259285.664,6363093.769,,4734177215,158368119.3,16652243.46,63602176.06,733680739.1,,1079154824,1369857129,14749667252,811255940.9,3243891033,,10090890495,21610059762,56898147.1,521861777.2,39333708170,245956719.4,213894508,25933378.39,65182716.1,14101703315,2821521878,11435617.47,907462686.6,,452513614.8,571657950.2,19559896.4,181481441.2,153404545.7,147224840.2,1474874326,6978372.204,57743396.83,3479509029,49355225.63,28403690.8,11000356816,,25282128.41,53509586.96,36281137.41,9502035.912,14815169.79,2237894737,87992258.58,20660327.01,896913201.4,34831910.07,6728153969,4065868548,85405885.72,865788853,1868465540,3273401893,0,839613251.8,1199121767,17020861.47,3776173214,2602230483,69892741.29,760989011,1056136062,51118614.12,18501866667,484607263,74361395.03,4528116431,27133961.88,161700000,,678511699.8,,440059286,326959522.8,4354573015,18338440.52,11699935.95,1102912157,34290403.85,,1812993336,25577668.2,,,19492116.74,345424236.7,9050377182,140753561.8,142191594.1,1176355738,344263066.3,3.57E+11,45914432.99,1071363969,,737366548,1766082898,,677000000
2003,,670021164.4,76142881.76,1374873734,76587998.89,9926649415,2381962769,176552162.3,43413201.31,3875697772,34544046.8,50757054.37,719442956.9,569054077.5,515957446.8,202282838.9,231563860.4,8552225,173431324.8,8392905884,243373245,301014357.8,15018926.36,9958245602,3270337504,2067983998,35126306608,213007570.5,188499655.9,78708031.88,93776668.96,3278369503,5782831.643,296933962.3,288427605.8,1885706689,35055088179,41763775.81,3199158428,155802495.6,2206395762,739000000,2383914898,181583669,12880532801,171411923.9,278673159.9,2475059743,37296898.08,45916973841,108396421.2,46942962291,42647402.88,53244020.29,84133949.31,1997861.937,7505161.734,,5035585542,178771794,16345330.57,82195176.79,709399147.2,,1401561253,2134746704,16333986643,965199981,3717068450,,10827490776,26824213292,54845871.82,611847672.8,42486177361,317564315.1,245938663.8,32603112.03,67525224.43,15847047272,3130746413,11013340.9,923383084.6,,541401766.5,541695589.6,27363759.54,210822413.2,198637975.5,189144251.4,1819230070,8246742.537,72517018.89,3245342478,66758430.83,34125502,24189109503,,24333211.23,59771342.55,62449150.29,10882927.44,13118825.85,2881578947,129449089.5,24604267.03,587461887.3,35307124.98,8356338470,4517514992,102934146.2,1132832007,1969310793,3722814794,0,891253913.4,1301286084,19307132.13,4150261759,3109812942,63511880.06,784615384.6,1250327559,45196268.98,18747466667,398110221.7,96856503.79,4723679528,28467933.59,126600000,,730567122.9,,624508454.6,416906753.7,5305640404,31927690.93,12239108.86,1436210734,40949759.12,28831211.29,1891520588,34788346.39,,,33736557,407385561.1,10277901778,125254713.9,152379921.8,1427984751,269526777.2,4.15E+11,54133695.46,987890177.7,841930159.4,807313244.1,2574176278,,194800000
2004,125111557.5,817533582.2,100922358.4,1465809188,98070488.2,11995219710,2679282065,228249631.6,44872377.15,4262663513,41780478.34,65684242.41,770641160.3,650748201.7,531914893.6,200100307.3,314314017.8,9486150,168881603.1,9780111585,199381149.3,314038897.1,15103589.92,11336489831,3503819863,2687320866,40352713136,250811588.4,221107924.7,137637805.5,124298437.4,4056896991,6452150.492,62047619.05,338474566.3,2042085931,38007611456,37355742.99,3578832460,152878466.8,2802224794,710000000,2369743586,,15262458637,204968180.2,311038749,2892938124,46798811.28,53007021661,125121856.6,53970302831,70419742.78,56353842.99,81018570.1,1931395.5,,,6267468787,114893349.3,22132238.74,60561786.64,730867004.5,,1532612234,2428947795,20238566527,1101860647,5243621133,613724869.6,11127065294,30261076655,54533132.23,586741890,45339809415,426441724.6,259807840.7,37238358.12,69218798.63,17829864143,3450118765,11496967.52,954560530.7,3182000,685073220.1,619305492.4,31386955.1,270841799.8,234676202.7,229353322.5,1937523822,9378005.953,54471710.03,3129009392,77420331.83,40526469.19,29853914083,,27749093.06,77630605.86,,10935141.92,21965738.58,2823157895,166997177.9,31611724.73,639990066.8,32628065.16,9377114724,4887380337,130650327.9,1285163189,2230689207,4128195489,0,922046074.5,1243221348,24421729.44,4778627749,3719431562,84466986.26,772362637.4,1530183904,41215761.05,20910400000,1240766949,107553687.9,5043396461,22961537.04,128000000,,739172065.1,,711290428,493153892.9,5514710385,42695547.31,15927272.73,1388544983,50540901.22,31719621.04,1866937328,45110098.94,,,75889150.48,444651416.7,10920773882,127567862.8,196015853.7,1685034159,279301971.5,4.65E+11,,1448715983,915089546.6,735485127.9,3099065125,98349404.04,256100000
2005,122727193.1,1365055399,110140852.7,1699579152,140738102.7,13237798499,2686166244,304521477.7,49557129.38,4228224643,44706029.56,73843342.16,773677668.2,699433973.1,513297872.3,173304847.7,452684068.3,10710962.5,169262316.4,13588619736,248588079.8,283835745.1,15396194.65,12988132964,3484636759,3100391591,45918881613,249872978.1,223084623.1,165205060.9,100916074.5,4914190182,7082416.548,78557142.86,380875028.8,2439538514,38054021788,44847260.59,3468452920,272200481.1,2924820167,954000000,2659439714,,15997724220,265961745.8,342066638.7,2999391049,43111350.29,52908769835,118111430.5,55151564188,214071430.1,64196566.4,,2985085.073,12116374.83,,7028428593,104467679.9,18506566.6,62589274.81,799160901.2,,1596087843,2146270791,23072312925,1144978361,6796744965,1120278533,10919173621,29737642392,59329776.32,603667136.8,44300613330,591985249.8,316799485.4,39718288.7,70959071.47,22159512557,3509417808,11965988.44,962520729.7,8025000,690930769.3,644211825.1,33619893.92,303819006.4,243744714.7,272551115.8,2031131381,11960379.69,54018162.48,3621523413,86450742.04,52498963.32,32954262251,60811819.13,29797967.23,62247951.09,66659636.65,10886148.05,38213561.9,3120337779,192072120.8,32798198.18,674208144.8,34123573.95,9566980053,4884904928,159326023.8,1389770959,2739011704,4587117425,0,1203039421,1372702435,30464707.68,5896404861,4039322489,77468937.97,887500000,1975975151,44996351.89,25392038601,1164995936,124403755.3,5463830810,23552130.23,132900000,,629500942.8,,823313455.4,514172799.5,5518466926,59471673.9,14727272.73,1450324657,55491517.97,33238035.29,1984492828,,,8230000,97752858.93,468464580,12081156314,139493591.3,216667041.1,2405492582,347323784.9,5.03E+11,,2665390597,1026426801,815627464,3566963815,139509353.6,131400000
2006,131346231.3,1970309115,140983900.7,1847553130,188189116.4,14239779513,2640185362,717111853.6,44717502.04,4307895341,46786130.93,72632867.33,829682794.8,750992451.6,574202127.7,178375570.1,631831238.1,12283037.5,179525489.2,16404867307,293436463.5,272934274.8,,14809892803,3328973394,3855358069,55337487669,267360247.9,256927843.3,205102086.6,126569641.8,5326664238,6985154.839,76587443.95,387703672,2449963710,38092382653,49515814.11,3896730668,259240325.1,3093978245,950000000,2952520159,,17252217613,315179053.3,345687017,3128517474,54067168.06,54516076830,130237717.3,57482975674,404172025.9,75732607.93,,2786319.244,,,7607186182,130546929.2,19176973.64,75595918.54,849431034.7,,1410071771,2611875117,23951927958,1190379117,8751474767,1236081013,11558970817,29633022263,72645523.01,701551481,41552592886,793027147.5,375807203.2,47207036.73,75881313.59,25177237741,3597816498,13410565.06,1008955224,3925000,614356296.2,791491040.7,35224579.31,351605788.8,247133192.2,367825490.4,2134594876,16449497.76,53914017.64,4082501468,96004895.87,44434425.84,,62347815.51,39189624.48,57439135.78,81906180.19,10814271.43,31090549.5,3266197406,199559185.1,,776148058.3,37285145.13,10217765740,5011748967,157247689.5,1463950819,3022626788,4969197611,0,1291060140,1607271267,31307966.36,6619413759,4066783668,106557406.1,1065741758,2251493425,54557648.04,29580507343,1647839194,148555145.4,5830527462,28022458.48,142100000,,705062714.3,551454504.4,911370626.8,608833753.4,5577203266,58520575.05,14366386.52,1435215692,222991451.4,,2441917005,,,17105000,115560463.1,497212664,13363298981,147417924.8,218533948.5,2986475248,392798690.7,5.28E+11,,3630088496,1286528867,822130536.1,3506139658,205852231.6,161700000
2007,219580214.3,2032432883,194840309.2,2296448242,280108688.3,17186440962,3499817967,946599792.1,46308706.22,5163979974,,107816728.5,953464223.6,1032154228,642553191.5,195049685.1,746943264,13759075,221280687.8,20485758015,323137150.8,306451402.7,19112519.74,17417139931,3524746536,4022478104,68011562228,323619193.5,296698917.3,205217223,168079588.2,6775762767,7943659.594,83365638.77,405176368.5,2707677752,42551851943,34518711.91,4175652589,274775680.8,3945815125,1310000000,3306908257,,20065668635,444197516,360140308.6,3296557750,75576918.3,60594986847,,65986089657,931750564.2,126077789,,4547026.14,,196314371.7,8533090258,135925872.8,24971954.12,95924340.17,978853732.1,,1776464117,3348758342,28254773450,1372225370,9330901882,1989948747,12128941564,31982431792,83511942.1,1032440056,40530045688,1359776099,494684896.7,50909587.1,79015425.88,27726129585,4115736734,14838865.54,1152238806,3486000,639137046.2,1054816810,39834671.56,442004493.3,286051368.8,481492627.1,2408350250,22718473.79,81936943.67,4779835655,110376888,49263377.12,,64190474.63,56561859.19,68625364.26,,11632288.74,33599605.59,3970537327,228174673.6,,971321378.6,39472043.8,11480377424,5875288100,169575397.1,1713995943,3244603381,5342575138,0,1332655376,2014371029,39287099.33,8589136364,4366184075,132393616.2,1562225275,2607689942,55580440.8,35469513009,2427072595,192807975.5,6518528963,29076876.18,165600000,,971570564.6,587966866.7,1139194488,692654912.6,6386221162,61877516.72,15176703.39,1599033723,389135909.6,,3522634436,,,23735000,124750514.8,490650558.8,15319161863,166215543.3,252119246.4,4096039604,416045332.5,5.57E+11,,4351560317,1784217422,1050499364,3525684244,232278664.4,
2008,240532594.6,3163591147,255677957.8,2788980205,395994365.4,18633092318,3746731607,1607799226,43856319.95,6295821584,64724601.11,116999586.9,1030020018,1038051933,719946808.5,233292390.7,883027522.9,18717737.5,327194708.2,24452903036,361989034.5,332400254.3,31511483.79,19342058405,4098459038,4641877576,86362099113,368910574.9,346586125.7,159998426.6,207724344.3,9051130502,10758715.97,89057268.72,453803054.2,2918695853,48081444318,36274835.28,4788030121,333538881.6,5172336907,1646000000,3779880350,,22227721830,505779818.3,388187596.7,3958118334,53585658.62,66009448127,,65619450480,1090160251,113668160.2,,17163533.46,,292754658.8,10574138499,166494048.3,30520593.42,132428400.6,1295957074,,1867877499,3232202215,33002376727,1582890834,11081950209,3116304020,14191949919,36839989746,130699170.7,1358383580,46361468280,1540810813,580011940.7,61124321.93,82630723.43,26072410508,4430342077,16267888.96,1169485904,3907000,1100068652,1511363007,27350681.86,541390194.6,236720167.1,581752272.9,2944958473,36845650.5,103271539.5,4939665939,142919351.1,56032519.13,,85106382.98,66749871.33,83709455.73,123323383.8,15580188.94,44464251.4,4411795565,266250021.2,53630486.48,1615533211,42659728.78,12374848940,6370921986,187069695.8,1661242822,3462483745,5226678787,0,1503663891,2270904919,39332022.27,9349421394,4812099462,168154857.4,2317500000,3000404945,67660359.62,38222933333,3228000000,216870289.5,7454324103,23645736.56,173000000,,1111631538,896390706.9,1411710285,829384406.9,6024791006,66657830.2,11124810.2,1732416848,611426848.7,57009189.27,4465994062,52467120.6,,23651000,139098455.7,578911487.3,17127313222,194000300.9,311856269.3,4811019855,567703932.8,6.21E+11,,5660456451,2137625597,1196411766,3285925081,278055135.8,
2009,251869514.8,3311193245,182736862.5,2981852290,359499343.5,18960138513,3334754940,1472909977,,5620670063,,127333296.6,1258791157,963254164,828191489.4,242471357.8,675426505.1,17267537.5,345777777.8,25648809911,349759722.8,330147278.7,35992384.36,18936226052,4055544323,3902221588,1.06E+11,420059044.5,343265154,122378011,,9033202673,8402927.293,92462555.07,471352781.1,2718559513,47470073335,,4337355690,320855289.2,5280588156,1949000000,4017404478,,20178274985,434340865.2,339627768,3940584835,51285722.32,66884028879,,57914627858,603655214.9,118290743.9,,7095299.575,13744583.7,371927587.9,10641348183,147410544.1,31055650.89,156802557.3,1129098496,,1475818169,3304459138,38722154392,1415725373,12584623339,3237179487,14030376087,34054481324,114808331.8,1568309859,51465158208,1271890276,578071672.4,67213747.35,136589738,24575661939,4208871206,13973614.53,1426202322,7193000,,1522232372,47399768.93,404826028.7,222959826.9,363809251.1,3055069442,24906387.27,70985221.42,4855514856,144434608.4,59110111.51,,76683387.91,37633746,84302809.4,114824329.4,15316115.87,58797381.82,3964817705,299516030.2,53000300.73,1504486172,41721772.9,12131812076,6195603602,209703502,1623013593,3367490247,5274564971,0,1848562930,2115785124,52048171.78,7903812008,4949690419,168486261.9,1948351648,2225144540,75278486.05,41267200000,3180483010,214824243,7537761858,26405564.66,189900000,,974288479.2,609898632.6,1350294439,798868642.2,5062962024,75911617.99,8651202.434,2181974581,738903737.1,55130817.09,4799654668,47529274.32,,36481000,138523710.2,564775933.7,16352301844,219476865.3,293527670.7,3452467130,577056008.5,6.69E+11,,4055379599,2401450914,1420775264,3592687702,220962285.8,
2010,298146852.5,3500794836,185893242,3475348407,395011507.8,23217692816,3218351224,1476608734,,5244720513,,123700474.7,1624625086,893467534,842819148.9,219915489.5,767699285.9,15337250,327413146.1,34002944470,390719540,348672725.3,51585274.5,19315688825,4115407849,4894081125,1.16E+11,387692140,354054397.8,183682097.5,218390920.6,10422054494,8239369.292,94277533.04,477587428.6,2497902955,46255521194,,4503492127,354856781.4,5671309117,2094000000,4407286453,,19710785450,332231196.9,303617033.1,3717180505,50408953.71,61781748108,268738503.9,58082848795,454178215.2,122480468.5,,,17129808.17,,8163619387,169798840.1,31075055.49,170186979.7,1015876654,,1350820413,4663365759,46090445657,1274228688,13561272454,3752905983,14605298604,32020819951,115571396,1557887324,54655450735,1501815344,622049847.8,77237992.31,167857928,28175181219,4335204653,15356402.95,1585406302,8458000,,1532026109,70661037.37,326320918.7,274135432.5,259672124.2,3160804832,18335718.27,56922892.89,5897198481,146786545.7,58728949.93,,75094861.9,54855717.51,99189931.71,,14874416.91,49984217.91,3854285351,396539101.4,66889841.44,1990099669,44272442.92,11220523280,6498659038,254950072.1,1930748002,3671391417,5974613176,0,2178945723,2438189569,46335624.37,8790170132,4718924038,204605254.8,1876758242,2086220460,74514417.29,45244533333,,195732892.9,8108851420,25062278.63,201000000,,872339631.7,650910667.8,1137680536,772085107.5,5885935800,102032175,7157559.787,2346021283,615817007.5,56832843.04,4962419956,53756933.71,,26389000,143063064.8,571189045.7,17939370512,282725098.8,608685868.6,3729503859,755659469.7,6.98E+11,,3991194835,2672286425,1448153377,4188168092,280187778.6,98293000
2011,325807003.7,3639496374,197006789.2,4051930105,390871433.9,26597198655,3409721209,3080084996,,5499370964,,138850860.2,1801539802,829031753.5,1033510638,211878260.6,756277351.3,15416250,403568566.1,36936209896,415371529,363324481.2,49874328.73,21393720864,4973863849,5686752070,1.38E+11,357330259,347477885.7,238787546.6,,10306578506,9757536.562,93744493.39,479735318.4,2474313259,48140347951,,4518590127,348559830.1,8652237040,2453700000,4463974191,,19695435494,389237580.9,332441772.4,4099505807,60785527.47,64600927220,265965337.6,60270435687,468779626.8,234327479.6,,,17519804.35,,7128608267,197433150.7,32416747.54,200358405.9,1106464042,,1472069832,5838026186,49633815794,1300331547,14277667361,4278632479,16343210462,33828804971,133638559.8,1594788732,60762213841,1803970782,646678106.7,86423386.41,192159418.5,30991707946,5393526319,19009820.6,1626533997,13271000,,1751910641,58169320.75,344605215.4,256962415.8,296834929.2,3342698956,22966963.69,71989808.01,6471388439,161062674.6,55893126.48,,79376663.82,87157848.16,118871183,,17512018.39,52804842.99,4692483660,443591424.5,83947561.38,2384936022,51453111.13,11647934608,7232260585,284518851.1,2080091009,5000715215,6954787511,0,2355167834,2701492158,64193136.14,9455422988,4904393519,285106240.8,,2379871482,75383928.56,48530933333,,230190350.7,8922267805,25476183.91,220700000,,986958193.7,1052721970,1064842811,665679671.4,6324747364,106629408.9,8712704.951,2494887483,609706993.1,59018874,5512983861,71342116.79,,20530000,146080695.2,715239597.1,17304881561,307473984.2,607135070.9,3684691424,824833542.2,7.11E+11,,3577531587,2686520590,1612254443,4594154078,309113764.2,198438000
